strategy,global_n,global_accuracy,global_precision,global_recall,global_f1,global_tn,global_fp,global_fn,global_tp,cohort_column,cohort_value,cohort_n,cohort_accuracy,cohort_precision,cohort_recall,cohort_f1,cohort_tn,cohort_fp,cohort_fn,cohort_tp
smote,7640,0.824607329842932,0.7999194847020934,0.7021201413427561,0.7478359051561911,4313,497,843,1987,client_type,internal_research,804,0.835820895522388,0.5,0.07575757575757576,0.13157894736842105,662,10,122,10
baseline,7640,0.824607329842932,0.8035859820700897,0.6968197879858657,0.7464042392127176,4328,482,858,1972,client_type,internal_research,804,0.8383084577114428,0.55,0.08333333333333333,0.14473684210526316,663,9,121,11
real_data,7640,0.8215968586387434,0.7902651365255243,0.7056537102473498,0.7455665484412918,4280,530,833,1997,client_type,internal_research,804,0.8420398009950248,0.6086956521739131,0.10606060606060606,0.18064516129032257,663,9,118,14
